# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)               |    __check_object_size() {
 0)   2.087 us    |      check_stack_object();
 0)   6.987 us    |    }
 0) + 25.293 us   |  }
 ------------------------------------------
 0)   migrati-11   =>   swapper-1   
 ------------------------------------------

 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.425 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.420 us    |        kmalloc_slab();
 0)   1.189 us    |        should_failslab();
 0)   7.023 us    |      }
 0)   1.142 us    |      static_key_count();
 0)               |      static_key_slow_inc() {
 0)               |        cpus_read_lock() {
 0)   1.383 us    |          __percpu_down_read();
 0)   4.374 us    |        }
 0)               |        static_key_slow_inc_cpuslocked() {
 0)   1.172 us    |          lockdep_assert_cpus_held();
 0)   1.543 us    |          mutex_lock();
 0)               |          jump_label_update() {
 0)   1.529 us    |            __module_address();
 0)               |            __jump_label_update() {
 0)   1.495 us    |              kernel_text_address();
 0)               |              arch_jump_label_transform() {
 0)               |                stop_machine_cpuslocked() {
 0)   1.296 us    |                  lockdep_assert_cpus_held();
 0) ! 102.635 us  |                  stop_cpus();
 0) ! 108.593 us  |                }
 0) ! 112.510 us  |              }
 0)   1.415 us    |              kernel_text_address();
 0)               |              arch_jump_label_transform() {
 0)               |                stop_machine_cpuslocked() {
 0)   1.162 us    |                  lockdep_assert_cpus_held();
 0) + 77.659 us   |                  stop_cpus();
 0) + 82.638 us   |                }
 0) + 85.093 us   |              }
 0) ! 207.543 us  |            }
 0) ! 213.897 us  |          }
 0)   1.440 us    |          mutex_unlock();
 0) ! 224.835 us  |        }
 0)               |        cpus_read_unlock() {
 0)               |          __percpu_up_read() {
 0)   1.167 us    |            rcuwait_wake_up();
 0)   3.462 us    |          }
 0)   5.943 us    |        }
 0) ! 240.238 us  |      }
 0)   1.198 us    |      mutex_unlock();
 0) ! 260.392 us  |    }
 0) ! 266.660 us  |  }
 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.230 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.177 us    |        kmalloc_slab();
 0)   1.165 us    |        should_failslab();
 0)   5.770 us    |      }
 0)   1.156 us    |      static_key_count();
 0)               |      static_key_slow_inc() {
 0)               |        cpus_read_lock() {
 0)   1.284 us    |          __percpu_down_read();
 0)   3.615 us    |        }
 0)               |        static_key_slow_inc_cpuslocked() {
 0)   1.150 us    |          lockdep_assert_cpus_held();
 0)   1.267 us    |          mutex_lock();
 0)               |          jump_label_update() {
 0)   1.350 us    |            __module_address();
 0)               |            __jump_label_update() {
 0)   1.175 us    |              kernel_text_address();
 0)               |              arch_jump_label_transform() {
 0)               |                stop_machine_cpuslocked() {
 0)   1.155 us    |                  lockdep_assert_cpus_held();
 0) + 75.175 us   |                  stop_cpus();
 0) + 80.018 us   |                }
 0) + 82.450 us   |              }
 0) + 87.437 us   |            }
 0) + 92.350 us   |          }
 0)   1.375 us    |          mutex_unlock();
 0) ! 102.057 us  |        }
 0)               |        cpus_read_unlock() {
 0)               |          __percpu_up_read() {
 0)   1.195 us    |            rcuwait_wake_up();
 0)   3.497 us    |          }
 0)   5.872 us    |        }
 0) ! 116.066 us  |      }
 0)   1.198 us    |      mutex_unlock();
